c_fullname	agg_count	agg_date
\ACT\Demographics\Age\55-64 years old\58 years old\	1729	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\	12427	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\73 years old\	1109	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\74 years old\	1175	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\80 years old\	863	2021-02-04 00:00:00.000
\ACT\Demographics\Age\85-89 years old\	2275	2021-02-04 00:00:00.000
\ACT\Demographics\Age\85-89 years old\85 years old\	769	2021-02-04 00:00:00.000
\ACT\Demographics\Age\85-89 years old\88 years old\	561	2021-02-04 00:00:00.000
\ACT\Demographics\Sex\	124140	2021-02-04 00:00:00.000
\ACT\Demographics\Sex\Female\	61337	2021-02-04 00:00:00.000
\ACT\Demographics\Sex\Male\	62820	2021-02-04 00:00:00.000
\ACT\Demographics\Age\>= 85 years old\	13536	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\	345	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\08 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\29 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\30 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\36 months\	1149	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\5 years old\	1060	2021-02-04 00:00:00.000
\ACT\Demographics\Age\10-17 years old\16 years old\	1344	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\26 years old\	1483	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\30 years old\	1433	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\45 years old\	1421	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\53 years old\	1658	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\63 years old\	1555	2021-02-04 00:00:00.000
\ACT\Demographics\Age\85-89 years old\86 years old\	425	2021-02-04 00:00:00.000
\ACT\Demographics\Race\	124152	2021-02-04 00:00:00.000
\ACT\Demographics\Race\Asian\	8640	2021-02-04 00:00:00.000
\ACT\Demographics\Race\No Information\	133	2021-02-04 00:00:00.000
\ACT\Demographics\Race\White\	104300	2021-02-04 00:00:00.000
\ACT\Demographics\Vital Status\Known Deceased\	24150	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\05 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\09 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\12 months\	339	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\	1146	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\8 years old\	1077	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\9 years old\	1095	2021-02-04 00:00:00.000
\ACT\Demographics\Age\10-17 years old\11 years old\	1150	2021-02-04 00:00:00.000
\ACT\Demographics\Age\10-17 years old\13 years old\	1192	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\24 years old\	1520	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\25 years old\	1491	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\27 years old\	1499	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\48 years old\	1499	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\50 years old\	1557	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\55 years old\	1690	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\69 years old\	1369	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\76 years old\	885	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\82 years old\	925	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\84 years old\	935	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\	122015	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\	29831	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\20 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\21 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\23 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\27 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\35 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\4 years old\	1060	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\7 years old\	1087	2021-02-04 00:00:00.000
\ACT\Demographics\Age\10-17 years old\17 years old\	1400	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\20 years old\	1415	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\22 years old\	1432	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\23 years old\	1526	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\34 years old\	1331	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\39 years old\	1310	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\42 years old\	1365	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\44 years old\	1360	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\51 years old\	1717	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\52 years old\	1700	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\60 years old\	1585	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\70 years old\	1259	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\78 years old\	875	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\79 years old\	865	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\81 years old\	885	2021-02-04 00:00:00.000
\ACT\Demographics\Vital Status\	24156	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\	15105	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\06 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\18 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\26 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\10-17 years old\12 years old\	1155	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\29 years old\	1469	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\41 years old\	1259	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\49 years old\	1452	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\	16146	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\77 years old\	876	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\83 years old\	968	2021-02-04 00:00:00.000
\ACT\Demographics\Race\American Indian or Alaska Native\	610	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\10 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\13 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\19 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\22 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\32 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\34 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\3 years old\	1073	2021-02-04 00:00:00.000
\ACT\Demographics\Age\10-17 years old\10 years old\	1169	2021-02-04 00:00:00.000
\ACT\Demographics\Age\10-17 years old\15 years old\	1270	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\21 years old\	1454	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\28 years old\	1473	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\33 years old\	1368	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\35 years old\	1335	2021-02-04 00:00:00.000
\ACT\Demographics\Age\35-44 years old\36 years old\	1244	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\47 years old\	1489	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\59 years old\	1685	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\68 years old\	1271	2021-02-04 00:00:00.000
\ACT\Demographics\Age\75-84 years old\75 years old\	1010	2021-02-04 00:00:00.000
\ACT\Demographics\Age\85-89 years old\87 years old\	496	2021-02-04 00:00:00.000
\ACT\Demographics\Age\Not recorded\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Race\Black or African American\	10440	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17799167\	13177	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17799167\A17812031\A17786428\	13172	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18910968\A17798894\A17798896\	19	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\02 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\03 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\0 years old\07 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\	1070	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\14 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\16 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\1 years old\24 months\	1083	2021-02-04 00:00:00.000
\ACT\Demographics\Age\0-9 years old\2 years old\28 months\	-1	2021-02-04 00:00:00.000
\ACT\Demographics\Age\10-17 years old\	9915	2021-02-04 00:00:00.000
\ACT\Demographics\Age\18-34 years old\32 years old\	1376	2021-02-04 00:00:00.000
\ACT\Demographics\Age\45-54 years old\54 years old\	1650	2021-02-04 00:00:00.000
\ACT\Demographics\Age\55-64 years old\62 years old\	1473	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\65 years old\	1446	2021-02-04 00:00:00.000
\ACT\Demographics\Age\65-74 years old\66 years old\	1334	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17862957\	365	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17862957\A17862959\	11	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17862957\A20115346\	360	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17812025\A20124344\A20160338\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17799167\A17812031\	13181	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17812025\A17799165\	1781	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17862957\A17812026\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18910971\A17837489\A17862859\	7506	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18910968\A17798894\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18910971\	7496	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18910971\A17786315\	7491	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18910971\A17786315\A17799047\	7495	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17812025\	1782	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17862957\A17862959\A17786426\	13	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17862957\A20115346\A20142258\	368	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18910968\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18910971\A17837489\	7499	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18916203\A17786353\A17786354\	19364	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18910971\A17837489\A17799059\	7503	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\	2020	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17837404\A17837406\	562	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17837404\A20160245\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18908307\A17812025\A20124344\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18916204\	2931	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18916203\A17786353\	19353	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18905901\A17852336\	42	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\	1821	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17773456\A17798972\	11	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17773456\A20133138\A20097332\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18916363\A17788385\A17788388\	1655	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\	20	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18916204\A17862948\A17862951\	2928	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17773456\A20133139\	1755	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18905901\	44	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18905901\A17801194\	40	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17837404\	574	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18911140\	15	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865043\A17865055\A17865056\A17775642\	18	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18916363\A17788385\	1645	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18911140\A17865181\A17852421\	20	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18905901\A17801194\A17801195\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18905901\A17801194\A17788426\	50	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18905901\A17852336\A17801184\	44	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17773456\A20133138\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17773456\A20133138\A20097333\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18916363\A17865076\A17852312\	121	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865043\	19	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18906744\A17858827\A17820856\	392	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865043\A17801134\	11	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865061\A17775649\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865061\A17839585\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18916203\	19363	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18911140\A17865181\	12	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18916363\A17865076\	106	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18909942\A17809867\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18916204\A17862948\	2930	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17773456\	1760	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18909942\A17809867\A17822755\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18906744\A17808235\A17846623\	1393	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905737\A18924111\A17773456\A17798972\A17811818\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18911375\A17777881\	419	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18911539\	1290	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18906744\A17808235\	1390	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18911375\	426	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865043\A17865055\A17865056\	12	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865061\A17839585\A17865063\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18909942\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18906744\A17858827\	398	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18912747\	2576	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18912747\A17835512\A17860828\	173	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17781612\	191	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17781612\A17858143\	204	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17782204\A17858768\	191	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17858571\A17871423\	85	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18916363\	1766	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865043\A17801134\A17775645\	10	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865043\A17865055\	-1	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18905900\A18919042\A17865061\	11	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\	13663	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18906744\	1789	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18911539\A17804109\	1292	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17782204\	195	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18917061\A17780653\	590	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18917061\A17780653\A17806338\	587	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18912747\A17797001\A17784268\	2400	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18911539\A17804109\A17804114\	1285	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18911539\A17804109\A17804114\A17842493\	1285	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17782204\A17858771\	64	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\	345	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17846137\A17807828\	77	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17858571\	271	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18912747\A17797001\	2403	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17846137\	76	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18916977\A17868565\A17804633\	535	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18916977\A17830690\A17817898\	225	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18916977\A17868565\	548	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18916977\A17868565\A17804633\A17791838\	539	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18912747\A17835512\	176	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18917061\	572	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18911375\A17777881\A17777920\	416	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18919400\A17816671\	629	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18919400\A17816671\A17778251\	623	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17858571\A17858609\	129	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18914552\A17858571\A17782081\	68	2021-02-04 00:00:00.000
\ACT\Diagnosis\ICD10\V2_2018AA\A20098492\A18906120\A18916977\A17830690\	231	2021-02-04 00:00:00.000
